OpenTime,XMR-USD_Open,XMR-USD_High,XMR-USD_Low,XMR-USD_Close,XMR-USD_Volume,CloseTime,%K,%D,rsi,macd
2021-07-06 03:37:00,215.91,216.21,215.91,216.11,10.84098,2021-07-06 03:37:59.999,78.09523809523931,64.83054483054536,56.5686771254969,0.06665453207227388
2021-07-06 03:38:00,216.22,216.36,216.21,216.36,11.22497,2021-07-06 03:38:59.999,100.0,77.14285714285741,60.83452479548597,0.08384866373243928
2021-07-06 03:39:00,216.29,216.36,216.24,216.36,23.49715,2021-07-06 03:39:59.999,100.0,92.6984126984131,60.83452479548597,0.09028560452910589
2021-07-06 03:40:00,216.39,216.39,216.14,216.14,8.93285,2021-07-06 03:40:59.999,77.27272727272715,92.42424242424238,55.291895849277275,0.0753970462253664
2021-07-06 03:41:00,216.15,216.15,215.99,215.99,18.44326,2021-07-06 03:41:59.999,63.636363636365516,80.30303030303088,51.824869334866385,0.052217952405184356
2021-07-06 03:42:00,216.08,216.11,216.03,216.06,3.03225,2021-07-06 03:42:59.999,65.62500000000092,68.84469696969785,53.29662400008021,0.03897846870106437
2021-07-06 03:43:00,215.98,215.98,215.88,215.9,2.873,2021-07-06 03:43:59.999,47.87234042553384,59.04456802063342,49.56902231834408,0.017896073175646524
2021-07-06 03:44:00,215.83,215.99,215.83,215.99,9.0257,2021-07-06 03:44:59.999,42.85714285714518,52.11816109422664,51.61883117452791,0.008916693657236296
2021-07-06 03:45:00,216.09,216.15,216.09,216.15,3.6002,2021-07-06 03:45:59.999,65.21739130435051,51.98229152900984,55.11191652499524,0.012440877528373001
2021-07-06 03:46:00,216.16,216.41,216.16,216.41,11.33529,2021-07-06 03:46:59.999,100.0,69.35817805383188,60.147259747018765,0.029970720261232237
2021-07-06 03:47:00,216.41,216.6,216.28,216.28,60.30205,2021-07-06 03:47:59.999,58.44155844155834,74.55298324863628,56.721176336386335,0.03040289708834487
2021-07-06 03:48:00,216.21,216.26,216.0,216.0,8.15638,2021-07-06 03:48:59.999,22.077922077920974,60.17316017315977,50.10156164459969,0.010453988814146956
2021-07-06 03:49:00,216.0,216.14,215.97,216.1,16.43093,2021-07-06 03:49:59.999,35.06493506493353,38.52813852813761,52.2451038504872,0.00300325147701265
2021-07-06 03:50:00,216.07,216.25,216.07,216.19,4.35114,2021-07-06 03:50:59.999,46.75324675324594,34.63203463203347,54.1539638210016,0.0031316838605914
2021-07-06 03:51:00,216.21,216.21,216.02,216.16,2.72299,2021-07-06 03:51:59.999,42.8571428571418,41.55844155844042,53.387904381480624,0.00033860295538118423
2021-07-06 03:52:00,216.23,216.51,216.22,216.51,4.38733,2021-07-06 03:52:59.999,88.31168831168759,59.30735930735844,60.422127450809775,0.02011073254226424
2021-07-06 03:53:00,216.65,216.81,216.65,216.72,4.66738,2021-07-06 03:53:59.999,90.8163265306118,73.9950525664804,63.93851732273197,0.04400950183810454
2021-07-06 03:54:00,216.79,216.79,216.68,216.72,35.91078,2021-07-06 03:54:59.999,90.8163265306118,89.98144712430373,63.93851732273197,0.05573994002127178
2021-07-06 03:55:00,216.66,216.72,216.61,216.72,10.00771,2021-07-06 03:55:59.999,90.8163265306118,90.81632653061179,63.93851732273196,0.05910153245125921
2021-07-06 03:56:00,216.78,216.97,216.78,216.97,23.33845,2021-07-06 03:56:59.999,100.0,93.87755102040786,68.14652186155742,0.07286118587163135
2021-07-06 03:57:00,216.98,217.01,216.86,216.86,9.33414,2021-07-06 03:57:59.999,87.28813559322204,92.70148737461129,64.57592657795047,0.06927641435254434
2021-07-06 03:58:00,216.86,217.15,216.86,217.05,47.53399,2021-07-06 03:58:59.999,91.52542372881409,92.93785310734536,67.7218699338643,0.07399581712913961
2021-07-06 03:59:00,217.02,217.02,216.91,217.01,11.31415,2021-07-06 03:59:59.999,88.1355932203378,88.98305084745796,66.38522847562781,0.06882600247060544
